Tipo;Ano;Qualis;Autor Principal;Título do Artigo;Periódico/Evento;Aut.Total;Aut.Prof;Aut.Dout;Aut.Mestr;Aut.Grad;Autores - Nomes;PPGC
Periódico;2013;B1;Renato Perez Ribas;BTI and HCI first-order aging estimation for early use in standard cell technology mapping;Microelectronics and Reliability;4;2;0;0;0;"BUTZEN, P.F.; Vinicius Dal Bem; REIS, A.I.; Renato Perez Ribas";Não
Periódico;2013;B1;Andre Inacio Reis;"BTI, HCI and TDDB aging impact in flip&#45;flops";Microelectronics and Reliability;4;2;0;0;0;"Cícero Nunes; Paulo Francisco Butzen; Andre Inacio Reis; Renato Perez Ribas";Não
Conferência;2013;-;Carlos Eduardo Pereira;A Model Driven Engineering Approach Based on Aspects for High Speed Scientific X-rays Cameras;16th IEEE Computer Society Symposium on Object/Component/service Realtime distributed computing;4;1;0;0;0;"Dionísio Doering; Carlos Eduardo Pereira; Peter Denes; John Joseph";Sim
Periódico;2013;A2;Luciana Salete Buriol;A molecular dynamics and knowledge-based computational strategy to predict native-like structures of polypeptides;Expert Systems with Applications;3;3;0;0;0;"Dorn, Márcio; Luciana Salete Buriol; Lamb, Luis C.";Sim
Periódico;2013;A2;Edson Prestes e Silva Júnior;Ubiquitous robots (UBIROBOTS) workshop at the UBICOMP 2012 conference;Robotics and Autonomous Systems (Print);4;1;0;0;0;"Craig Schlenoff; Abdelghani Chibani; Edson Prestes e Silva JÃºnior; Yacine Amirat";Não
Periódico;2013;A2;Luís da Cunha Lamb;A molecular dynamics and knowledge-based computational strategy to predict native-like structures of polypeptides;Expert Systems with Applications;3;3;0;0;0;"Dorn, MÃ¡rcio; Buriol, Luciana S.; LuÃ­s da Cunha Lamb";Sim
Periódico;2013;A2;Márcio Dorn;A molecular dynamics and knowledge-based computational strategy to predict native-like structures of polypeptides;Expert Systems with Applications;3;3;0;0;0;"Márcio Dorn; Luciana S. Buriol; Luís da Cunha Lamb";Sim
Periódico;2013;A1;Jacob Scharcanski;A morphologic two-stage approach for automated optic disk detection in color eye fundus images;Pattern Recognition Letters;3;1;0;0;0;"Daniel Welfer; Jacob Scharcanski; Diane R. Marinho";Sim
Conferência;2013;-;Edison Pignaton de Freitas;A Multi-agent Model for Fire Detection in Coal Mines Using Wireless Sensor Networks;2013 12th IEEE International Conference on Trust, Security and Privacy in Computing and Communications (TrustCom);4;1;0;0;0;"KHAN, ZESHAN ASLAM; Edison Pignaton de Freitas; LARSSON, TONY; ABBAS, HAIDER";Sim
Conferência;2013;-;Antonio Carlos Schneider Beck Filho;A Multiple-ISA Reconfigurable Architecture;2013 III Brazilian Symposium on Computing Systems Engineering (SBESC);5;3;0;0;0;"Fernanda Mathias Capella; Marcelo Brandalero; Jair Fajardo Junior; Antonio Carlos Schneider Beck Filho; Luigi Carro";Sim
Conferência;2013;B4;Marcelo Brandalero;A Multiple-ISA Reconfigurable Architecture;Simpósio Brasileiro de Engenharia de Sistemas Computacionais;5;2;1;0;0;"CAPELLA, FERNANDA M.; Marcelo Brandalero; JUNIOR, JAIR FAJARDO; BECK, ANTONIO C. S.; CARRO, LUIGI";Sim
Conferência;2013;-;Vinicius Callegaro;A New Algorithm to Implement Combinational Logic Cells with Reduced Number of Switches;28th South Symposium on Microelectronics (SIM);6;4;0;0;0;"Vinícius Neves Possani; Vinicius Callegaro; Andre Inacio Reis; Ribas, R.P.; Felipe de Souza Marques; Leomar Soares da Rosa Junior";Sim
Conferência;2013;-;Vinícius Neves Possani;A New Algorithm to Implement Combinational Logic Cells with Reduced Number of Switches;South Symposium on Microelectronics;6;4;0;0;0;"Vinícius Neves Possani; Vinicius Callegaro; André Inácio Reis; Renato Peres Ribas; Felipe de Souza Marques; Leomar Soares da Rosa Junior";Sim
Conferência;2013;B5;Augusto Neutzling Silva;A New Efficient Method to Threshold Logic Functions Identification;South Microelectronics School;4;3;0;0;0;"Mayler Gama Alvarenga Martins; Renato Perez Ribas; André Inacio Reis; Augusto Neutzling Silva";Sim
Conferência;2013;-;Marcus Rolf Peter Ritt;A New Memory Banking System for Energy-Efficient Wireless Sensor Networks;2013 IEEE International Conference on Distributed Computing in Sensor Systems (DCOSS);4;2;0;0;0;"STEINFELD, LEONARDO; SILVEIRA, FERNANDO; Marcus Rolf Peter Ritt; CARRO, LUIGI";Sim
Conferência;2013;-;Luigi Carro;A New Memory Banking System for Energy-Efficient Wireless Sensor Networks;2013 IEEE International Conference on Distributed Computing in Sensor Systems (DCOSS);4;2;0;0;0;"STEINFELD, LEONARDO; SILVEIRA, FERNANDO; RITT, MARCUS; Luigi Carro";Sim
Conferência;2013;B2;Andre Inacio Reis;A new method for factoring read-polarity-once Boolean functions;International Workshop on Logic and Synthesis;4;2;1;0;0;"CALLEGARO, VINICIUS; Mayler Gama Alvarenga Martins; RIBAS, RENATO P.; Andre Inacio Reis";Sim
Conferência;2013;-;Alexandra Lackmann Zimpeck;A new methodology to evaluate the Holding Time in CMOS Logic Gates with Stuck-Open Fault;Chip in Curitiba - SForum;3;0;0;1;0;"Cristina Meinhardt; Paulo Butzen; Alexandra Lackmann Zimpeck";Sim
Conferência;2013;-;Jacob Scharcanski;A Novel 3D Approach for the Extraction of the Wetting Front in CT Images of Soil Profiles;IEEE International Instrumentation and Measurement Technology Conference (I2MTC 2013);4;1;0;0;0;"Dionicio Vasquez; Jacob Scharcanski; Wong, Alexander; Silvio Crestana";Sim
Conferência;2013;-;Carlos Eduardo Pereira;A Passive Monitoring Tool for Evaluation of Routing in WirelessHart Networks;IFIP Artificial Intelligence;5;1;0;0;0;"Gustavo Kunzel; Jean Michel Winter; Ivan Muller; Carlos Eduardo Pereira; JOÃO CÉSAR NETTO";Sim
Periódico;2013;C;Liane Margarida Rockenbach Tarouco;A possibilidade de identificação da ação mediada nos mundos digitais virtuais 3D;RENOTE. Revista Novas Tecnologias na EducaÃ§Ã£o;3;1;0;0;0;"Leandro Rosniak Tibola; Liane Margarida Rockenbach Tarouco; Liliana Maria Passerino";Sim
